Prod	Dates	Maturite	MaturiteMonth	End_Date	ESTR	EURx1M	EURx3M	EURx6M	EURx1Y	ESTRx1M	ESTRx3M	ESTRx6M	ESTRx1Y	ESTRxESTRS	3Mx1M	3Mx6M	3Mx1Y	3MxESTR	3MxESTRS
Prod1	30/09/2025	1D	0,033333333	45931	1,927	1,928948322	2,031942656	2,095938987	2,192933209	-6,7	-6,7	-6,7	-6,7	8,5	-10,2994334	6,399633098	16,09905533	6,7	15,2
Prod1	30/09/2025	2D	0,066666667	45932	1,927	1,928948322	2,031942656	2,095938987	2,192933209	-5,695	-5,695	-5,695	-5,695	8,5	-10,2994334	6,399633098	16,09905533	5,695	14,195
Prod1	30/09/2025	3D	0,1	45933	1,927	1,943205947	2,037231918	2,06194862	2,193092278	-3,1975	-3,1975	-3,1975	-3,1975	8,5	-9,402597035	2,471670254	15,58603608	3,1975	11,6975
Prod1	30/09/2025	1W	0,233333333	45939	1,927	1,972045219	2,048159938	1,99429934	2,193811379	-0,7	-0,7	-0,7	-0,7	8,5	-7,611471885	-5,386059789	14,56514413	0,7	9,2
Prod1	30/09/2025	2W	0,466666667	45946	1,9278	1,956547398	2,048974658	1,992264168	2,194650747	-0,432	0,655	0,214	0,04	8,5	-9,242726091	-5,671049087	14,56760886	-0,655	7,845
Prod1	30/09/2025	3W	0,7	45953	1,9279	1,945136484	2,048970656	1,997384974	2,195490565	-0,129	2,302	1,364	1,034	8,5	-10,3834172	-5,158568188	14,6519909	-2,302	6,198
Prod1	30/09/2025	1M	1	45964	1,9281	1,929	2,049543855	2,001558961	2,19681119	0,09	4,694	3,163	2,634	8,5	-12,05438548	-4,798489371	14,72673349	-4,694	3,806
Prod1	30/09/2025	2M	2	45993	1,929	1,96188	2,034944261	2,00735891	2,200298177	0,062	9,016	7,42	6,669	8,5	-7,306426127	-2,758535123	16,53539155	-9,016	-0,516
Prod1	30/09/2025	3M	3	46024	1,928	1,96954	2,032	2,04532236	2,20403423	-0,159	10,4	11,286	10,785	8,5	-6,246	1,332235976	17,20342303	-10,4	-1,9
Prod1	30/09/2025	4M	4	46055	1,924	1,97013	2,035645858	2,074482427	2,207779183	-0,25	9,211	14,503	14,761	8,5	-6,551585756	3,883656974	17,2133325	-9,211	-0,711
Prod1	30/09/2025	5M	5	46083	1,922	1,93067	2,033178915	2,089364584	2,211169392	-0,496	10,477	16,421	17,804	8,5	-10,2508915	5,618566853	17,79904774	-10,477	-1,977
Prod1	30/09/2025	6M	6	46114	1,918	1,9347	2,030010433	2,096	2,21493136	-0,537	11,201	17,8	20,919	8,5	-9,531043297	6,598956703	18,49209269	-11,201	-2,701
Prod1	30/09/2025	7M	7	46146	1,911	1,92779	2,027259527	2,086659547	2,218824103	-0,208	10,483	17,514	23,905	8,5	-9,946952692	5,94000201	19,15645758	-10,483	-1,983
Prod1	30/09/2025	8M	8	46175	1,907	1,93123	2,024020172	2,085476042	2,222360194	-0,058	11,275	17,699	25,956	8,5	-9,279017209	6,145587034	19,83400224	-11,275	-2,775
Prod1	30/09/2025	9M	9	46205	1,903	1,92706	2,020955642	2,086185461	2,21523481	0,175	11,758	18,109	27,639	8,5	-9,389564248	6,522981818	19,42791678	-11,758	-3,258
Prod1	30/09/2025	10M	10	46237	1,899	1,93076	2,019386765	2,090778792	2,210465435	0,505	11,199	18,884	28,93	8,5	-8,862676504	7,13920273	19,10786702	-11,199	-2,699
Prod1	30/09/2025	11M	11	46267	1,896	1,93495	2,017132959	2,093125013	2,203335735	0,845	11,771	19,485	29,615	8,5	-8,218295883	7,599205425	18,62027766	-11,771	-3,271
Prod1	30/09/2025	1Y	12	46297	1,895	1,93222	2,042738745	2,122898521	2,193	1,099	12,026	19,904	29,671	8,5	-11,05187447	8,015977645	15,02612553	-12,026	-3,526
Prod1	30/09/2025	15M	15	46391	1,8885	1,963093822	2,040734265	2,116640542	2,231868243	1,392	12,178	19,508	26,455	8,5	-7,764044304	7,590627769	19,1133978	-12,178	-3,678
